질문,연령대,성별,전혀 그렇지 않다,그렇지 않다,보통이다,그렇다,매우 그렇다,키워드
차별금지법은 도입되어야 한다,20대,M,14.9,13.5,32.2,27.9,11.6,차별금지
모든 사람이 동일한 돈을 벌면 세상은 더 나아진다,20대,M,32.6,39.6,21.4,14.4,6.6,평등
가족보다 개인의 직업 성공이 더 중요하다,20대,M,6.5,33.3,40.2,20.1,8.7,개인주의
약자나 취약한 위치에 있는 사람을 신경쓰는 것은 중요하다,30대,M,2.9,3.2,27.2,50.6,12.7,약자보호
나와 같은 계층은 충분히 보상을 받고 있다,30대,M,15.7,35,37.1,9.2,5.5,보상
세상에는 상대적으로 남보다 더 우월한 사람들이 있다,30대,M,2.5,7.6,19.6,45.3,22.2,능력주의
외국 자연재해에 짜릿함을 느낀다,30대,M,51,33.7,13.7,6.8,3.4,파괴욕구
모든 사람이 평등하게 대우 받는 것이 중요하다,30대,M,3.4,5.2,27.4,40.8,19.3,평등
노력하는 만큼 소득에 차이가 나야 한다,30대,M,2.1,4.7,26.8,48.1,15.2,능력주의
나와 같은 세대는 충분히 보상을 받고 있다,30대,M,14.8,36.3,33.2,10.2,2.5,보상
연민과 동정은 중요한 덕목이다,30대,M,4.3,8.2,37.8,37.7,7.2,연민
성공하려면 타인을 눌러야 할 때도 있다,30대,M,3.8,19.4,26,45.2,15.1,능력주의
인류 대부분이 사라지는 상상을 한다,30대,M,37.8,32,17.4,14.1,1.7,파괴욕구
다음 세대에 살기 좋은 세상을 물려줘야 한다,30대,M,0.4,2.6,26.6,43.5,25.4,미래
아이를 갖는 것은 사회적 의무다,30대,M,19.2,23.9,30.9,15.2,4.2,젠더
모두가 동등한 대우를 받는지 따지는 것은 중요하다,30대,M,3,6.3,30.8,39.9,14.6,평등
약자 보호를 주장하는 사람들의 도덕적 우월감이 불편하다,30대,M,6.6,26.1,33.3,23.3,14,평등
남녀 임금 격차에는 타당한 이유가 있다,30대,M,8.1,23.4,28.5,33.8,21.5,젠더
좋고 멋진 것을 파괴하고 싶은 충동을 느낀다,30대,M,44.7,32.8,15.4,13,1.3,파괴욕구
어머니가 일하면 아이들이 어려움을 겪는다,30대,M,12.2,25,28.2,23.3,5.1,젠더
약자를 공정하게 대우하는 것이 중요하다,30대,M,3.8,4.5,33.7,43.5,11.5,약자보호
사회적 약자 보호 노력이 과하다,30대,M,7.1,27.3,33.7,24.3,14.8,평등
부는 노력보다 운에 따라 결정된다,30대,M,5.5,34,37,23.8,9.3,능력주의
기후위기 극복을 위한 강한 규제가 필요하다,30대,M,4.2,5.8,38.7,36,11.5,기후위기
명절에 제사 대신 해외여행은 비난받을 일이 아니다,30대,M,6.3,14.8,20.8,40.5,24.1,전통
요즘 사회는 말에 너무 민감하다,30대,M,2.5,4.3,19.2,48.4,27.6,과민성
부유해지는 것이 삶의 가장 중요한 목표다,30대,M,2.1,18.9,31,41.7,14.4,물질주의
사회가 완전히 무너져야 한다고 생각한다,30대,M,42.4,31.2,21.2,9.4,2.9,파괴욕구
법 제정의 첫 원칙은 공평한 대우이다,30대,M,1.7,3.3,24.8,42.8,27.5,평등
결혼은 개인의 선택이다,30대,M,1.2,8.9,20,41.7,30.1,젠더
극단주의 제압할 강력한 지도자가 필요하다,30대,M,4.6,8.9,27.8,33.5,22.1,권위주의
사회 제도를 허물고 다시 시작해야 한다,30대,M,27.1,34.3,22.1,13.1,5.5,파괴욕구
부정행위자 처벌시 기분이 좋다,30대,M,2,5.6,26.8,38.7,28,처벌쾌감
청소년에게 더 많은 훈육이 필요하다,30대,M,3,9,29,37.4,20.6,훈육
모든 사람은 동일한 삶의 지원을 받아야 한다,30대,M,9.8,21.6,36,23.6,8,평등
여성은 가정과 아이들을 우선시해야 한다,30대,M,9.7,16.8,40,24.2,8.1,젠더
차별금지법은 도입되어야 한다,30대,M,8.5,13.5,36.5,32.7,9.8,차별금지
모든 사람이 동일한 돈을 벌면 세상은 더 나아진다,30대,M,29.4,39.6,20.3,15.6,2.5,평등
가족보다 개인의 직업 성공이 더 중요하다,30대,M,7.2,33.3,45.4,15.2,8.4,개인주의
약자나 취약한 위치에 있는 사람을 신경쓰는 것은 중요하다,40대,M,1.1,3.2,19.5,54.9,20.3,약자보호
나와 같은 계층은 충분히 보상을 받고 있다,40대,M,11.8,35,36.5,12.6,1.8,보상
세상에는 상대적으로 남보다 더 우월한 사람들이 있다,40대,M,1.4,7.6,20.3,51.1,19.6,능력주의
외국 자연재해에 짜릿함을 느낀다,40대,M,43.3,33.7,10.7,7,1.1,파괴욕구
모든 사람이 평등하게 대우 받는 것이 중요하다,40대,M,1.1,5.2,26.6,43.3,21.1,평등
노력하는 만큼 소득에 차이가 나야 한다,40대,M,1.1,4.7,27,46.2,15.9,능력주의
나와 같은 세대는 충분히 보상을 받고 있다,40대,M,12.2,36.3,37,12.2,2.9,보상
연민과 동정은 중요한 덕목이다,40대,M,1.4,8.2,35.5,45.9,9.6,연민
성공하려면 타인을 눌러야 할 때도 있다,40대,M,2.2,19.4,23.6,52.2,11.4,능력주의
인류 대부분이 사라지는 상상을 한다,40대,M,32.9,32,19.9,15.2,2.6,파괴욕구
다음 세대에 살기 좋은 세상을 물려줘야 한다,40대,M,1.4,2.6,19.5,50.6,23,미래
아이를 갖는 것은 사회적 의무다,40대,M,8.5,23.9,34.3,28.1,3.3,젠더
모두가 동등한 대우를 받는지 따지는 것은 중요하다,40대,M,1.4,6.3,29.6,49.6,14.4,평등
약자 보호를 주장하는 사람들의 도덕적 우월감이 불편하다,40대,M,2.5,26.1,39.6,22.9,10.4,평등
남녀 임금 격차에는 타당한 이유가 있다,40대,M,1.4,23.4,32.8,35.2,16.7,젠더
좋고 멋진 것을 파괴하고 싶은 충동을 느낀다,40대,M,43.2,32.8,17.4,8.1,1.8,파괴욕구
어머니가 일하면 아이들이 어려움을 겪는다,40대,M,6.3,25,37.4,26.7,4.8,젠더
약자를 공정하게 대우하는 것이 중요하다,40대,M,1.1,4.5,29.6,46.2,16.7,약자보호
사회적 약자 보호 노력이 과하다,40대,M,3.7,27.3,41.7,19.3,8.2,평등
부는 노력보다 운에 따라 결정된다,40대,M,3.6,34,40.2,20.8,5.9,능력주의
기후위기 극복을 위한 강한 규제가 필요하다,40대,M,1.8,5.8,33.5,44.5,10.7,기후위기
명절에 제사 대신 해외여행은 비난받을 일이 아니다,40대,M,4,14.8,29,42.8,12.6,전통
요즘 사회는 말에 너무 민감하다,40대,M,0.3,4.3,25.1,50.4,18.8,과민성
부유해지는 것이 삶의 가장 중요한 목표다,40대,M,1.8,18.9,32.9,40,12.5,물질주의
사회가 완전히 무너져야 한다고 생각한다,40대,M,42.5,31.2,17.1,7.4,2.9,파괴욕구
법 제정의 첫 원칙은 공평한 대우이다,40대,M,1.4,3.3,17.8,44.7,32.6,평등
결혼은 개인의 선택이다,40대,M,1.1,8.9,24,45.6,22.5,젠더
극단주의 제압할 강력한 지도자가 필요하다,40대,M,4,8.9,21,41.9,26.3,권위주의
사회 제도를 허물고 다시 시작해야 한다,40대,M,24.7,34.3,24.9,10.3,3.7,파괴욕구
부정행위자 처벌시 기분이 좋다,40대,M,0.3,5.6,24.4,45.1,26.3,처벌쾌감
청소년에게 더 많은 훈육이 필요하다,40대,M,1.8,9,26.5,39.2,23.7,훈육
모든 사람은 동일한 삶의 지원을 받아야 한다,40대,M,4.4,21.6,28.8,34.5,14.4,평등
여성은 가정과 아이들을 우선시해야 한다,40대,M,3.6,16.8,41.2,31.8,4.8,젠더
차별금지법은 도입되어야 한다,40대,M,6.6,13.5,37.2,37.9,7.7,차별금지
모든 사람이 동일한 돈을 벌면 세상은 더 나아진다,40대,M,16.2,39.6,26.6,16.3,2.9,평등
가족보다 개인의 직업 성공이 더 중요하다,40대,M,4,33.3,43.3,18.5,4.4,개인주의
약자나 취약한 위치에 있는 사람을 신경쓰는 것은 중요하다,50대,M,0.9,3.2,8,68.2,20.6,약자보호
나와 같은 계층은 충분히 보상을 받고 있다,50대,M,13,35,34.8,7.7,1.3,보상
세상에는 상대적으로 남보다 더 우월한 사람들이 있다,50대,M,1.9,7.6,11.3,62.3,20.4,능력주의
외국 자연재해에 짜릿함을 느낀다,50대,M,49.4,33.7,10,4.9,0.3,파괴욕구
모든 사람이 평등하게 대우 받는 것이 중요하다,50대,M,0,5.2,18.6,50.2,26.7,평등
노력하는 만큼 소득에 차이가 나야 한다,50대,M,0.3,4.7,21,62.6,13.9,능력주의
나와 같은 세대는 충분히 보상을 받고 있다,50대,M,12,36.3,39.2,7.3,0.6,보상
연민과 동정은 중요한 덕목이다,50대,M,0.6,8.2,27,56.9,11.7,연민
성공하려면 타인을 눌러야 할 때도 있다,50대,M,2.7,19.4,22.3,53.9,8.9,능력주의
인류 대부분이 사라지는 상상을 한다,50대,M,37.6,32,15.9,10.6,2.3,파괴욕구
다음 세대에 살기 좋은 세상을 물려줘야 한다,50대,M,0,2.6,13.2,55,29.6,미래
아이를 갖는 것은 사회적 의무다,50대,M,5.6,23.9,39.9,27.5,8,젠더
모두가 동등한 대우를 받는지 따지는 것은 중요하다,50대,M,0.3,6.3,20.7,59.5,14.6,평등
약자 보호를 주장하는 사람들의 도덕적 우월감이 불편하다,50대,M,4.3,26.1,39.4,27.7,7.7,평등
남녀 임금 격차에는 타당한 이유가 있다,50대,M,4.3,23.4,36.6,28.9,7.7,젠더
좋고 멋진 것을 파괴하고 싶은 충동을 느낀다,50대,M,48.7,32.8,11.3,4.3,2,파괴욕구
어머니가 일하면 아이들이 어려움을 겪는다,50대,M,5.3,25,34.8,32,5,젠더
약자를 공정하게 대우하는 것이 중요하다,50대,M,0.3,4.5,23,57.2,16.3,약자보호
사회적 약자 보호 노력이 과하다,50대,M,9,27.3,35.2,20.2,6.6,평등
부는 노력보다 운에 따라 결정된다,50대,M,6.3,34,32,24.1,3.3,능력주의
기후위기 극복을 위한 강한 규제가 필요하다,50대,M,1.3,5.8,32.9,43.3,18.3,기후위기
명절에 제사 대신 해외여행은 비난받을 일이 아니다,50대,M,3.9,14.8,28.7,42.6,10.6,전통
요즘 사회는 말에 너무 민감하다,50대,M,1,4.3,24.1,52.2,19.2,과민성
부유해지는 것이 삶의 가장 중요한 목표다,50대,M,2.3,18.9,31.4,42.1,8.6,물질주의
사회가 완전히 무너져야 한다고 생각한다,50대,M,49.7,31.2,11.9,4.3,1,파괴욕구
법 제정의 첫 원칙은 공평한 대우이다,50대,M,0,3.3,10.3,45.2,41.3,평등
결혼은 개인의 선택이다,50대,M,1.3,8.9,22.4,52.5,20,젠더
극단주의 제압할 강력한 지도자가 필요하다,50대,M,2,8.9,17.9,36.9,35,권위주의
사회 제도를 허물고 다시 시작해야 한다,50대,M,32.7,34.3,16.3,7.6,3.6,파괴욕구
부정행위자 처벌시 기분이 좋다,50대,M,0.3,5.6,23.6,43,30.2,처벌쾌감
청소년에게 더 많은 훈육이 필요하다,50대,M,0.6,9,35.3,38,17,훈육
모든 사람은 동일한 삶의 지원을 받아야 한다,50대,M,2.7,21.6,32.3,34.9,13.9,평등
여성은 가정과 아이들을 우선시해야 한다,50대,M,4.3,16.8,37.2,37.3,7,젠더
차별금지법은 도입되어야 한다,50대,M,5.7,13.5,28.6,45.2,11.3,차별금지
모든 사람이 동일한 돈을 벌면 세상은 더 나아진다,50대,M,14.4,39.6,29.3,12,2.6,평등
가족보다 개인의 직업 성공이 더 중요하다,50대,M,5,33.3,45.5,13.3,3.3,개인주의
약자나 취약한 위치에 있는 사람을 신경쓰는 것은 중요하다,60대,M,0.3,3.2,3.1,51.7,43.4,약자보호
나와 같은 계층은 충분히 보상을 받고 있다,60대,M,7.6,35,35.8,18.4,3.5,보상
세상에는 상대적으로 남보다 더 우월한 사람들이 있다,60대,M,2.2,7.6,13.8,52.8,18.5,능력주의
외국 자연재해에 짜릿함을 느낀다,60대,M,47.7,33.7,2.5,3.3,1,파괴욕구
모든 사람이 평등하게 대우 받는 것이 중요하다,60대,M,0.9,5.2,8.3,42.4,43.9,평등
노력하는 만큼 소득에 차이가 나야 한다,60대,M,1.7,4.7,6.9,57.2,31.1,능력주의
나와 같은 세대는 충분히 보상을 받고 있다,60대,M,5.7,36.3,35.2,21.3,2.9,보상
연민과 동정은 중요한 덕목이다,60대,M,0.9,8.2,10.2,52.7,33.3,연민
성공하려면 타인을 눌러야 할 때도 있다,60대,M,9.5,19.4,19.5,40.3,6.4,능력주의
인류 대부분이 사라지는 상상을 한다,60대,M,46.9,32,6.2,5.3,0.6,파괴욕구
다음 세대에 살기 좋은 세상을 물려줘야 한다,60대,M,0.9,2.6,3.1,38.2,56.2,미래
아이를 갖는 것은 사회적 의무다,60대,M,3.3,23.9,17.8,45.8,21.7,젠더
모두가 동등한 대우를 받는지 따지는 것은 중요하다,60대,M,1.2,6.3,7.9,47.9,36.1,평등
약자 보호를 주장하는 사람들의 도덕적 우월감이 불편하다,60대,M,4.2,26.1,28.8,27.6,10.9,평등
남녀 임금 격차에는 타당한 이유가 있다,60대,M,5.8,23.4,20.7,42.9,6.2,젠더
좋고 멋진 것을 파괴하고 싶은 충동을 느낀다,60대,M,49.3,32.8,5.2,4.4,0,파괴욕구
어머니가 일하면 아이들이 어려움을 겪는다,60대,M,2.9,25,21.1,46.9,10.5,젠더
약자를 공정하게 대우하는 것이 중요하다,60대,M,0.9,4.5,7.1,51.5,38.5,약자보호
사회적 약자 보호 노력이 과하다,60대,M,6,27.3,37.2,18.4,10.4,평등
부는 노력보다 운에 따라 결정된다,60대,M,16.9,34,15.9,11.7,2.8,능력주의
기후위기 극복을 위한 강한 규제가 필요하다,60대,M,0.6,5.8,13.3,48.5,30.5,기후위기
명절에 제사 대신 해외여행은 비난받을 일이 아니다,60대,M,8.2,14.8,26,33.3,6,전통
요즘 사회는 말에 너무 민감하다,60대,M,1.6,4.3,10.4,54.6,29.2,과민성
부유해지는 것이 삶의 가장 중요한 목표다,60대,M,5.3,18.9,24.6,34.4,11.1,물질주의
사회가 완전히 무너져야 한다고 생각한다,60대,M,58.1,31.2,2.2,0.6,2,파괴욕구
법 제정의 첫 원칙은 공평한 대우이다,60대,M,0.3,3.3,3.1,34.1,60.2,평등
결혼은 개인의 선택이다,60대,M,7.2,8.9,15.6,49,11.6,젠더
극단주의 제압할 강력한 지도자가 필요하다,60대,M,2.9,8.9,5.8,39,46.6,권위주의
사회 제도를 허물고 다시 시작해야 한다,60대,M,26.6,34.3,15.9,12.5,5.3,파괴욕구
부정행위자 처벌시 기분이 좋다,60대,M,4.1,5.6,14.4,36.2,38.3,처벌쾌감
청소년에게 더 많은 훈육이 필요하다,60대,M,1.8,9,15.4,40.1,30.6,훈육
모든 사람은 동일한 삶의 지원을 받아야 한다,60대,M,4.5,21.6,15.5,38.2,19.3,평등
여성은 가정과 아이들을 우선시해야 한다,60대,M,2.6,16.8,17.5,55.2,14.5,젠더
차별금지법은 도입되어야 한다,60대,M,6.3,13.5,15.8,39.6,15.1,차별금지
모든 사람이 동일한 돈을 벌면 세상은 더 나아진다,60대,M,19.2,39.6,10.7,17.4,3,평등
가족보다 개인의 직업 성공이 더 중요하다,60대,M,11.2,33.3,25.2,12,1.9,개인주의
약자나 취약한 위치에 있는 사람을 신경쓰는 것은 중요하다,70대,M,0.8,3.2,2.1,60.1,36.1,약자보호
나와 같은 계층은 충분히 보상을 받고 있다,70대,M,5.7,35,36.1,23.1,3.8,보상
세상에는 상대적으로 남보다 더 우월한 사람들이 있다,70대,M,3.3,7.6,18.1,56.6,14.7,능력주의
외국 자연재해에 짜릿함을 느낀다,70대,M,32.4,33.7,10.3,9,2.9,파괴욕구
모든 사람이 평등하게 대우 받는 것이 중요하다,70대,M,0.4,5.2,9.3,50,35.2,평등
노력하는 만큼 소득에 차이가 나야 한다,70대,M,0.4,4.7,4.2,60.1,32.6,능력주의
나와 같은 세대는 충분히 보상을 받고 있다,70대,M,3.6,36.3,37.6,23.8,4.5,보상
연민과 동정은 중요한 덕목이다,70대,M,0,8.2,9.7,60.1,28.1,연민
성공하려면 타인을 눌러야 할 때도 있다,70대,M,11.2,19.4,13.1,33.1,10,능력주의
인류 대부분이 사라지는 상상을 한다,70대,M,35.5,32,8.6,9.5,2.4,파괴욕구
다음 세대에 살기 좋은 세상을 물려줘야 한다,70대,M,0,2.6,3.2,49,46.8,미래
아이를 갖는 것은 사회적 의무다,70대,M,0.8,23.9,7,54.5,26.5,젠더
모두가 동등한 대우를 받는지 따지는 것은 중요하다,70대,M,1.6,6.3,9.7,59.4,25,평등
약자 보호를 주장하는 사람들의 도덕적 우월감이 불편하다,70대,M,3.7,26.1,29.3,33.9,7.4,평등
남녀 임금 격차에는 타당한 이유가 있다,70대,M,2.5,23.4,18,50.2,9.5,젠더
좋고 멋진 것을 파괴하고 싶은 충동을 느낀다,70대,M,41.6,32.8,6.1,5.7,1.6,파괴욕구
어머니가 일하면 아이들이 어려움을 겪는다,70대,M,1.6,25,15.7,50.2,14.9,젠더
