질문,연령대,성별,전혀 그렇지 않다,그렇지 않다,보통이다,그렇다,매우 그렇다,키워드
나와 같은 세대는 충분히 보상을 받고 있다,30대,W,18.6,36.3,32.2,7.6,1.8,보상
연민과 동정은 중요한 덕목이다,30대,W,3.5,8.2,39.8,33.5,8.4,연민
성공하려면 타인을 눌러야 할 때도 있다,30대,W,4.9,19.4,31.6,42.5,5.8,능력주의
인류 대부분이 사라지는 상상을 한다,30대,W,49.7,32,13.5,10.3,3.6,파괴욕구
다음 세대에 살기 좋은 세상을 물려줘야 한다,30대,W,2.2,2.6,25.5,42.9,25.6,미래
아이를 갖는 것은 사회적 의무다,30대,W,35.8,23.9,20.8,8.6,0.8,젠더
모두가 동등한 대우를 받는지 따지는 것은 중요하다,30대,W,0.9,6.3,32.5,44,15.2,평등
약자 보호를 주장하는 사람들의 도덕적 우월감이 불편하다,30대,W,9.1,26.1,33.3,17.3,6.3,평등
남녀 임금 격차에는 타당한 이유가 있다,30대,W,18,23.4,26.7,22.6,3.6,젠더
좋고 멋진 것을 파괴하고 싶은 충동을 느낀다,30대,W,54.2,32.8,12.1,7.3,1.7,파괴욕구
어머니가 일하면 아이들이 어려움을 겪는다,30대,W,19.3,25,24.9,19.2,2.7,젠더
약자를 공정하게 대우하는 것이 중요하다,30대,W,0.9,4.5,32.7,46.9,14.8,약자보호
사회적 약자 보호 노력이 과하다,30대,W,7.1,27.3,32,17.2,6.3,평등
부는 노력보다 운에 따라 결정된다,30대,W,3.6,34,37.6,28.8,6.3,능력주의
기후위기 극복을 위한 강한 규제가 필요하다,30대,W,1.3,5.8,36.8,35.2,22.1,기후위기
명절에 제사 대신 해외여행은 비난받을 일이 아니다,30대,W,8.1,14.8,15.9,37.8,32.6,전통
요즘 사회는 말에 너무 민감하다,30대,W,2.2,4.3,16.8,47.4,29,과민성
부유해지는 것이 삶의 가장 중요한 목표다,30대,W,2.7,18.9,29,42.1,11.7,물질주의
사회가 완전히 무너져야 한다고 생각한다,30대,W,49.6,31.2,17.3,5.9,0.4,파괴욕구
법 제정의 첫 원칙은 공평한 대우이다,30대,W,0.9,3.3,22.3,44.2,28,평등
결혼은 개인의 선택이다,30대,W,0,8.9,10.8,39.8,46,젠더
극단주의 제압할 강력한 지도자가 필요하다,30대,W,4.9,8.9,32.7,35.7,15.7,권위주의
사회 제도를 허물고 다시 시작해야 한다,30대,W,32.5,34.3,27.2,11.7,1.8,파괴욕구
부정행위자 처벌시 기분이 좋다,30대,W,0.4,5.6,19.4,42.6,33.4,처벌쾌감
청소년에게 더 많은 훈육이 필요하다,30대,W,0.4,9,19.9,41.4,32.2,훈육
모든 사람은 동일한 삶의 지원을 받아야 한다,30대,W,4.5,21.6,33.1,27.8,13,평등
여성은 가정과 아이들을 우선시해야 한다,30대,W,17.5,16.8,33,20.8,2.2,젠더
차별금지법은 도입되어야 한다,30대,W,4.9,13.5,36.3,37.4,13.9,차별금지
모든 사람이 동일한 돈을 벌면 세상은 더 나아진다,30대,W,22.6,39.6,22.2,13.6,3.9,평등
가족보다 개인의 직업 성공이 더 중요하다,30대,W,6.8,33.3,45.3,22,2.2,개인주의
약자나 취약한 위치에 있는 사람을 신경쓰는 것은 중요하다,40대,W,0.4,3.2,17.4,60.9,17.7,약자보호
나와 같은 계층은 충분히 보상을 받고 있다,40대,W,15.4,35,34.7,6.2,0.7,보상
세상에는 상대적으로 남보다 더 우월한 사람들이 있다,40대,W,1.1,7.6,16.9,63,13.1,능력주의
외국 자연재해에 짜릿함을 느낀다,40대,W,57.8,33.7,10.4,1.9,0,파괴욕구
모든 사람이 평등하게 대우 받는 것이 중요하다,40대,W,1.1,5.2,28.6,45.2,21.5,평등
노력하는 만큼 소득에 차이가 나야 한다,40대,W,0.3,4.7,23.5,61.4,10.3,능력주의
나와 같은 세대는 충분히 보상을 받고 있다,40대,W,17,36.3,31.6,5.4,0.7,보상
연민과 동정은 중요한 덕목이다,40대,W,1.1,8.2,37.7,38.9,9,연민
성공하려면 타인을 눌러야 할 때도 있다,40대,W,1.9,19.4,27.5,50.4,4.2,능력주의
인류 대부분이 사라지는 상상을 한다,40대,W,45.2,32,15.8,9.6,1.5,파괴욕구
다음 세대에 살기 좋은 세상을 물려줘야 한다,40대,W,0,2.6,20.1,43.9,34.3,미래
아이를 갖는 것은 사회적 의무다,40대,W,19.2,23.9,34,8,1.1,젠더
모두가 동등한 대우를 받는지 따지는 것은 중요하다,40대,W,1.1,6.3,28.6,55.4,10.4,평등
약자 보호를 주장하는 사람들의 도덕적 우월감이 불편하다,40대,W,4.2,26.1,36.6,24.3,4.6,평등
남녀 임금 격차에는 타당한 이유가 있다,40대,W,15.4,23.4,30.4,16.3,1.9,젠더
좋고 멋진 것을 파괴하고 싶은 충동을 느낀다,40대,W,54,32.8,7.4,3.4,1.1,파괴욕구
어머니가 일하면 아이들이 어려움을 겪는다,40대,W,8,25,34.8,26.9,3.5,젠더
약자를 공정하게 대우하는 것이 중요하다,40대,W,0.3,4.5,29.4,50.9,13.1,약자보호
사회적 약자 보호 노력이 과하다,40대,W,6.1,27.3,31.3,18.8,5.7,평등
부는 노력보다 운에 따라 결정된다,40대,W,6.1,34,40.1,22.5,4.9,능력주의
기후위기 극복을 위한 강한 규제가 필요하다,40대,W,0.7,5.8,27.7,50,18.4,기후위기
명절에 제사 대신 해외여행은 비난받을 일이 아니다,40대,W,4.9,14.8,15.9,49,22,전통
요즘 사회는 말에 너무 민감하다,40대,W,1.1,4.3,21.3,53.6,21.5,과민성
부유해지는 것이 삶의 가장 중요한 목표다,40대,W,4.6,18.9,33.5,35.5,7.3,물질주의
사회가 완전히 무너져야 한다고 생각한다,40대,W,53.3,31.2,12.3,5,0.7,파괴욕구
법 제정의 첫 원칙은 공평한 대우이다,40대,W,1.1,3.3,17,47.8,31.9,평등
결혼은 개인의 선택이다,40대,W,0.3,8.9,8.4,50.3,39.2,젠더
극단주의 제압할 강력한 지도자가 필요하다,40대,W,4.6,8.9,19.3,40.5,23.5,권위주의
사회 제도를 허물고 다시 시작해야 한다,40대,W,33.2,34.3,23.1,6.8,3,파괴욕구
부정행위자 처벌시 기분이 좋다,40대,W,0.7,5.6,22.1,47.5,23.3,처벌쾌감
청소년에게 더 많은 훈육이 필요하다,40대,W,0,9,23.5,38.6,28,훈육
모든 사람은 동일한 삶의 지원을 받아야 한다,40대,W,3,21.6,35.8,29.3,8.5,평등
여성은 가정과 아이들을 우선시해야 한다,40대,W,11.1,16.8,34,19.6,3.9,젠더
차별금지법은 도입되어야 한다,40대,W,5,13.5,35.8,39,12.3,차별금지
모든 사람이 동일한 돈을 벌면 세상은 더 나아진다,40대,W,16.9,39.6,25.1,8.1,2.7,평등
가족보다 개인의 직업 성공이 더 중요하다,40대,W,4.2,33.3,51.7,14.6,6.2,개인주의
약자나 취약한 위치에 있는 사람을 신경쓰는 것은 중요하다,50대,W,0,3.2,11.7,64.4,20.4,약자보호
나와 같은 계층은 충분히 보상을 받고 있다,50대,W,13,35,39.9,5.7,1.3,보상
세상에는 상대적으로 남보다 더 우월한 사람들이 있다,50대,W,1.3,7.6,13,64.7,17.1,능력주의
외국 자연재해에 짜릿함을 느낀다,50대,W,55,33.7,9.3,2.3,0.6,파괴욕구
모든 사람이 평등하게 대우 받는 것이 중요하다,50대,W,0.6,5.2,15.1,54.3,25.7,평등
노력하는 만큼 소득에 차이가 나야 한다,50대,W,0.3,4.7,20.5,64,10.6,능력주의
나와 같은 세대는 충분히 보상을 받고 있다,50대,W,11.7,36.3,38.8,7.4,1.6,보상
연민과 동정은 중요한 덕목이다,50대,W,0,8.2,31,45.9,11,연민
성공하려면 타인을 눌러야 할 때도 있다,50대,W,3.3,19.4,26.8,42.9,7.9,능력주의
인류 대부분이 사라지는 상상을 한다,50대,W,45.3,32,13.7,5,1,파괴욕구
다음 세대에 살기 좋은 세상을 물려줘야 한다,50대,W,0.3,2.6,10.6,52.4,33.8,미래
아이를 갖는 것은 사회적 의무다,50대,W,11.4,23.9,35.9,16.4,3.3,젠더
모두가 동등한 대우를 받는지 따지는 것은 중요하다,50대,W,0,6.3,18.1,60,15.7,평등
약자 보호를 주장하는 사람들의 도덕적 우월감이 불편하다,50대,W,5.3,26.1,36.9,21.8,4,평등
