question_kr,age_kr,gender,pct_sd,pct_d,pct_n,pct_a,pct_sa,keyword_kr
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",50대,여성,1.3500,3.6700,13.0900,64.7900,17.1000,"우열 수용체"
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",60대,여성,4.0900,5.3300,14.6800,65.2200,10.6700,"우열 수용체"
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",70대 이상,여성,0.8400,9.9900,23.6600,55.4200,10.0800,"우열 수용체"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",20대,남성,53.8100,21.7700,14.0900,7.0200,3.3100,"구조 백혈구"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",30대,남성,51.0300,25.0300,13.7000,6.8400,3.4100,"구조 백혈구"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",40대,남성,43.3400,37.7200,10.7400,7.0800,1.1100,"구조 백혈구"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",50대,남성,49.4000,35.2800,10.0300,4.9600,0.3400,"구조 백혈구"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",60대,남성,47.7500,45.3100,2.5000,3.3600,1.0800,"구조 백혈구"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",70대 이상,남성,32.4700,45.2200,10.3600,9.0600,2.9000,"구조 백혈구"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",20대,여성,64.5800,18.3500,10.3300,5.8600,0.8900,"구조 백혈구"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",30대,여성,62.2100,24.2100,9.1000,4.4800,0.0000,"구조 백혈구"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",40대,여성,57.8600,29.7700,10.4200,1.9500,0.0000,"구조 백혈구"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",50대,여성,55.0900,32.5100,9.3900,2.3400,0.6700,"구조 백혈구"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",60대,여성,51.2700,42.1500,2.9600,3.6200,0.0000,"구조 백혈구"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",70대 이상,여성,36.8100,44.1700,8.9600,8.7400,1.3200,"구조 백혈구"
"모든 사람이 평등하게 대우 받는 것이 중요하다.",20대,남성,2.4800,6.2000,37.6000,36.8000,16.9200,"공감 헤모글로빈"
"모든 사람이 평등하게 대우 받는 것이 중요하다.",30대,남성,3.4400,8.9300,27.4000,40.8900,19.3500,"공감 헤모글로빈"
"모든 사람이 평등하게 대우 받는 것이 중요하다.",40대,남성,1.1200,7.7900,26.6100,43.3000,21.1800,"공감 헤모글로빈"
"모든 사람이 평등하게 대우 받는 것이 중요하다.",50대,남성,0.0000,4.3600,18.6500,50.2300,26.7600,"공감 헤모글로빈"
"모든 사람이 평등하게 대우 받는 것이 중요하다.",60대,남성,0.9800,4.3400,8.3200,42.4600,43.9000,"공감 헤모글로빈"
"모든 사람이 평등하게 대우 받는 것이 중요하다.",70대 이상,남성,0.4400,4.8800,9.3900,50.0200,35.2700,"공감 헤모글로빈"
"모든 사람이 평등하게 대우 받는 것이 중요하다.",20대,여성,1.3300,4.9500,25.6300,48.3800,19.7100,"공감 헤모글로빈"
"모든 사람이 평등하게 대우 받는 것이 중요하다.",30대,여성,1.3800,4.0800,30.8600,45.6800,18.0000,"공감 헤모글로빈"
"모든 사람이 평등하게 대우 받는 것이 중요하다.",40대,여성,1.1700,3.4200,28.6300,45.2300,21.5600,"공감 헤모글로빈"
"모든 사람이 평등하게 대우 받는 것이 중요하다.",50대,여성,0.6700,4.0700,15.1600,54.3200,25.7800,"공감 헤모글로빈"
"모든 사람이 평등하게 대우 받는 것이 중요하다.",60대,여성,0.7000,8.1200,9.7800,48.2100,33.1900,"공감 헤모글로빈"
"모든 사람이 평등하게 대우 받는 것이 중요하다.",70대 이상,여성,1.2600,2.3300,8.4200,55.9400,32.0400,"공감 헤모글로빈"
"노력하는 만큼 소득에 차이가 나야 한다.",20대,남성,2.4800,6.6100,21.8800,47.9900,21.0400,"우열 수용체"
"노력하는 만큼 소득에 차이가 나야 한다.",30대,남성,2.1500,7.6300,26.8700,48.1400,15.2100,"우열 수용체"
"노력하는 만큼 소득에 차이가 나야 한다.",40대,남성,1.1200,9.6000,27.0700,46.2200,15.9800,"우열 수용체"
"노력하는 만큼 소득에 차이가 나야 한다.",50대,남성,0.3400,2.0200,21.0100,62.6500,13.9900,"우열 수용체"
"노력하는 만큼 소득에 차이가 나야 한다.",60대,남성,1.7000,2.9700,6.9300,57.2900,31.1000,"우열 수용체"
"노력하는 만큼 소득에 차이가 나야 한다.",70대 이상,남성,0.4500,2.4600,4.2900,60.1900,32.6100,"우열 수용체"
"노력하는 만큼 소득에 차이가 나야 한다.",20대,여성,0.9000,6.2500,26.4100,55.2300,11.2100,"우열 수용체"
"노력하는 만큼 소득에 차이가 나야 한다.",30대,여성,0.4400,5.4500,29.3200,52.0100,12.7700,"우열 수용체"
"노력하는 만큼 소득에 차이가 나야 한다.",40대,여성,0.3800,4.2700,23.5500,61.4200,10.3800,"우열 수용체"
"노력하는 만큼 소득에 차이가 나야 한다.",50대,여성,0.3400,4.3800,20.5200,64.0800,10.6900,"우열 수용체"
"노력하는 만큼 소득에 차이가 나야 한다.",60대,여성,0.5300,2.2300,7.5700,63.9500,25.7200,"우열 수용체"
"노력하는 만큼 소득에 차이가 나야 한다.",70대 이상,여성,0.0000,3.5200,6.8400,65.5500,24.1000,"우열 수용체"
"나와 같은 세대의 사람들이 충분히 보상을 받고 있다.",20대,남성,15.2700,33.8500,31.4000,14.9700,4.5100,"정체성 단백"
"나와 같은 세대의 사람들이 충분히 보상을 받고 있다.",30대,남성,14.8400,39.0900,33.2500,10.2800,2.5400,"정체성 단백"
"나와 같은 세대의 사람들이 충분히 보상을 받고 있다.",40대,남성,12.2200,35.5000,37.0200,12.2700,2.9900,"정체성 단백"
"나와 같은 세대의 사람들이 충분히 보상을 받고 있다.",50대,남성,12.0200,40.7200,39.2500,7.3300,0.6700,"정체성 단백"
"나와 같은 세대의 사람들이 충분히 보상을 받고 있다.",60대,남성,5.7100,34.7900,35.2000,21.3800,2.9200,"정체성 단백"
"나와 같은 세대의 사람들이 충분히 보상을 받고 있다.",70대 이상,남성,3.6700,30.3000,37.6800,23.8100,4.5400,"정체성 단백"
"나와 같은 세대의 사람들이 충분히 보상을 받고 있다.",20대,여성,8.0700,37.5800,43.1600,8.4500,2.7400,"정체성 단백"
